CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,DAMAGE,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE
6/25/2019 16:45,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,998,N,MICHIGAN AVE,1833,,,,,,,,,,16,3,6,41.90080165,-87.62427247
6/21/2019 11:55,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",528,N,FAIRBANKS CT,1834,,,,,,,,,,11,6,6,41.89184174,-87.62038181
6/7/2019 20:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",IMPROPER OVERTAKING/PASSING,UNABLE TO DETERMINE,2800,W,BELMONT AVE,1733,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,20,6,6,41.93950238,-87.69784937
6/16/2019 18:00,30,NO CONTROLS,NO CONTROLS,RAIN,DUSK,OTHER NONCOLLISION,NOT DIVIDED,STRAIGHT AND LEVEL,WET,"RUT, HOLES",NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"$501 - $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,3601,W,115TH ST,2211,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,18,1,6,41.6840008,-87.71034776
6/9/2019 8:00,35,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,FIXED OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,UNKNOWN,,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",PHYSICAL CONDITION OF DRIVER,UNABLE TO DETERMINE,7610,S,ASHLAND AVE,611,,,,,,,,,,8,1,6,41.75543845,-87.66370877
6/1/2019 1:19,30,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,5555,W,AGATITE AVE,1623,4,NO INDICATION OF INJURY,0,0,0,0,0,1,0,1,7,6,41.96128841,-87.76699439
6/6/2019 9:15,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,$500 OR LESS,IMPROPER BACKING,NOT APPLICABLE,7706,S,PAULINA ST,611,,,,,,,,,,9,5,6,41.75369876,-87.66609963
6/7/2019 18:58,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,,$500 OR LESS,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,2100,S,WESTERN AVE,1023,,,,,,,,,,18,6,6,41.85382825,-87.68583397
6/1/2019 17:45,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"$501 - $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,1701,S,KEELER AVE,1012,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,7,6,,
6/1/2019 17:30,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"$501 - $1,500",NOT APPLICABLE,NOT APPLICABLE,1347,W,WAVELAND AVE,1923,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,17,7,6,41.94878813,-87.66350013
6/2/2019 18:15,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"$501 - $1,500",FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,3,W,TERMINAL ST,1653,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,1,6,,
6/3/2019 15:45,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,6401,S,PULASKI RD,823,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,2,6,41.77678336,-87.72256551
6/4/2019 16:22,35,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,RAMP,STRAIGHT ON GRADE,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,$500 OR LESS,UNABLE TO DETERMINE,NOT APPLICABLE,13,W,I190 EXPY,1654,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,3,6,,
6/4/2019 18:38,35,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,OTHER,STRAIGHT ON GRADE,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,$500 OR LESS,IMPROPER LANE USAGE,NOT APPLICABLE,15,W,I190 EXPY,1654,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,3,6,,
6/5/2019 14:42,10,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"$501 - $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,10330,S,ELIZABETH ST,2232,,,,,,,,,,14,4,6,41.70585971,-87.65378585
6/6/2019 7:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,FIXED OBJECT,ONE-WAY,"CURVE, LEVEL",DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,1,W,TERMINAL ST,1651,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,7,5,6,,
6/7/2019 16:50,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,UNABLE TO DETERMINE,FOLLOWING TOO CLOSELY,524,W,OHARE ST,1654,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,6,6,,
6/7/2019 20:15,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,4012,N,HAMLIN AVE,1723,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,6,6,41.95414811,-87.72286846
6/7/2019 6:30,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"$501 - $1,500",NOT APPLICABLE,NOT APPLICABLE,722,W,OHARE ST,1654,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,6,6,6,,
6/9/2019 13:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,,"$501 - $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,3700,W,31ST ST,1031,,,,,,,,,,13,1,6,41.83712071,-87.71709506
6/10/2019 13:20,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,1,W,TERMINAL ST,1651,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,2,6,,
6/10/2019 14:00,10,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"$501 - $1,500",NOT APPLICABLE,NOT APPLICABLE,330,W,OHARE ST,1654,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,14,2,6,,
6/11/2019 11:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,REAR END,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",NOT APPLICABLE,NOT APPLICABLE,1,W,OHARE ST,1651,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,3,6,,
6/10/2019 15:30,10,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR TO SIDE,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,$500 OR LESS,IMPROPER BACKING,IMPROPER BACKING,172,N,BESSIE COLEMAN DR,1654,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,15,2,6,,
6/10/2019 14:40,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,UNKNOWN,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,$500 OR LESS,IMPROPER LANE USAGE,NOT APPLICABLE,5447,S,MOBILE AVE,811,2,NO INDICATION OF INJURY,0,0,0,0,0,7,0,14,2,6,,
6/12/2019 13:45,20,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,3,W,TERMINAL ST,1653,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,4,6,,
6/13/2019 11:45,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,5,W,TERMINAL ST,1655,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,11,5,6,,
6/14/2019 9:21,15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,FIXED OBJECT,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,"RUT, HOLES",ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",IMPROPER BACKING,UNABLE TO DETERMINE,5601,N,NORTHWEST HWY,1622,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,9,6,6,41.9830108,-87.78217788
6/15/2019 8:00,30,OTHER,OTHER,RAIN,DAWN,OTHER OBJECT,OTHER,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",WEATHER,NOT APPLICABLE,8040,S,CALUMET AVE,623,1,,,,,,,,,8,7,6,41.74803603,-87.61660039
6/15/2019 20:40,20,NO CONTROLS,NO CONTROLS,RAIN,DARKNESS,SIDESWIPE OPPOSITE DIRECTION,PARKING LOT,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"$501 - $1,500",IMPROPER BACKING,FAILING TO YIELD RIGHT-OF-WAY,524,W,OHARE ST,1654,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,7,6,,
6/18/2019 7:30,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,OTHER OBJECT,ALLEY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,,"OVER $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,5119,N,MEADE AVE,1622,,,,,,,,,,7,3,6,41.97454561,-87.78048009
6/22/2019 7:22,20,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,SIDESWIPE SAME DIRECTION,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,2,W,TERMINAL ST,1652,2,NO INDICATION OF INJURY,0,0,0,0,0,6,0,7,7,6,,
6/23/2019 2:40,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",OTHER OBJECT,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,5601,W,63RD ST,812,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,2,1,6,41.77794241,-87.76177279
6/24/2019 12:45,30,UNKNOWN,UNKNOWN,CLEAR,DAYLIGHT,REAR END,ONE-WAY,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,$500 OR LESS,NOT APPLICABLE,NOT APPLICABLE,55,W,WACKER DR,111,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,12,2,6,41.88670693,-87.63006619
6/24/2019 22:45,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,$500 OR LESS,IMPROPER OVERTAKING/PASSING,UNABLE TO DETERMINE,938,W,BELMONT AVE,1924,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,22,2,6,41.9400357,-87.65295314
6/25/2019 15:25,15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",IMPROPER BACKING,IMPROPER BACKING,4422,N,RAVENSWOOD AVE,1912,2,,,,,,,,,15,3,6,41.96222821,-87.67468896
6/25/2019 17:10,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,OTHER OBJECT,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",WEATHER,NOT APPLICABLE,6818,S,OAKLEY AVE,832,1,,,,,,,,,17,3,6,41.76957575,-87.6809874
6/27/2019 19:22,30,NO CONTROLS,NO CONTROLS,RAIN,DUSK,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,1251,W,GRAND AVE,1215,,,,,,,,,,19,5,6,41.89094444,-87.65945836
6/29/2019 10:05,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,$500 OR LESS,IMPROPER BACKING,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,3,W,TERMINAL ST,1653,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,10,7,6,,
6/30/2019 4:07,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,2199,E,HAYES DR,331,2,NO INDICATION OF INJURY,0,0,0,0,0,5,0,4,1,6,,
6/30/2019 15:15,10,NO CONTROLS,NO CONTROLS,RAIN,DAWN,OTHER NONCOLLISION,PARKING LOT,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,$500 OR LESS,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5320,S,PULASKI RD,815,1,,,,,,,,,15,1,6,41.79619759,-87.72339188
6/13/2019 20:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",FOLLOWING TOO CLOSELY,NOT APPLICABLE,755,N,CICERO AVE,1111,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,5,6,41.89482746,-87.74565493
6/18/2019 13:10,35,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,FIXED OBJECT,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",ROAD ENGINEERING/SURFACE/MARKING DEFECTS,UNABLE TO DETERMINE,335,E,83RD ST,632,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,3,6,41.74367448,-87.61641921
6/24/2019 6:55,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"$501 - $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,100,N,COLUMBUS DR,114,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,6,2,6,41.88329361,-87.62075899
6/29/2019 20:14,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DUSK,TURNING,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,,"$501 - $1,500",IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,3558,N,PLAINFIELD AVE,1631,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,20,7,6,41.94467304,-87.83406709
6/16/2019 13:30,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"$501 - $1,500",IMPROPER OVERTAKING/PASSING,IMPROPER LANE USAGE,4007,N,CUMBERLAND AVE,1614,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,1,6,41.95231473,-87.83652245
6/12/2019 9:20,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,OTHER OBJECT,ONE-WAY,STRAIGHT AND LEVEL,DRY,"RUT, HOLES",ON SCENE,NO INJURY / DRIVE AWAY,,$500 OR LESS,EQUIPMENT - VEHICLE CONDITION,UNABLE TO DETERMINE,100,W,ADAMS ST,122,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,9,4,6,41.87952321,-87.63089527
6/25/2019 21:05,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",TEXTING,NOT APPLICABLE,1427,N,KOSTNER AVE,2534,3,NO INDICATION OF INJURY,0,0,0,0,0,1,0,21,3,6,41.90697149,-87.73611486
