Test,Display,TestNumber,Trial,Subject,Response,TrueValue
"Veritcal Distance, Aligned",1,1,B,60,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,61,0.55,0.6
"Veritcal Distance, Aligned",1,1,B,62,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,63,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,64,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,65,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,66,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,67,0.5,0.6
"Veritcal Distance, Aligned",1,1,B,68,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,69,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,70,0.5,0.6
"Veritcal Distance, Aligned",1,1,B,71,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,72,0.33,0.6
"Veritcal Distance, Aligned",1,1,B,73,0.45,0.6
"Veritcal Distance, Aligned",1,1,B,74,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,75,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,76,0.45,0.6
"Veritcal Distance, Aligned",1,1,B,77,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,78,0.55,0.6
"Veritcal Distance, Aligned",1,1,B,79,0.55,0.6
"Veritcal Distance, Aligned",1,1,B,80,0.55,0.6
"Veritcal Distance, Aligned",1,1,B,81,0.55,0.6
"Veritcal Distance, Aligned",1,1,B,82,0.55,0.6
"Veritcal Distance, Aligned",1,1,B,83,0.55,0.6
"Veritcal Distance, Aligned",1,1,B,84,0.5,0.6
"Veritcal Distance, Aligned",1,1,B,85,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,86,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,87,0.55,0.6
"Veritcal Distance, Aligned",1,1,B,88,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,89,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,90,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,91,0.55,0.6
"Veritcal Distance, Aligned",1,1,B,92,0.5,0.6
"Veritcal Distance, Aligned",1,1,C,1,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,2,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,3,0.68,0.55
"Veritcal Distance, Aligned",1,1,C,4,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,5,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,6,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,7,0.47,0.55
"Veritcal Distance, Aligned",1,1,C,8,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,9,0.48,0.55
"Veritcal Distance, Aligned",1,1,C,10,0.6,0.55
"Veritcal Distance, Aligned",1,1,C,11,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,12,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,13,0.67,0.55
"Veritcal Distance, Aligned",1,1,C,14,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,15,0.54,0.55
"Veritcal Distance, Aligned",1,1,C,16,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,17,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,18,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,19,0.59,0.55
"Veritcal Distance, Aligned",1,1,C,20,0.65,0.55
"Veritcal Distance, Aligned",1,1,C,21,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,22,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,23,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,24,0.6,0.55
"Veritcal Distance, Aligned",1,1,C,25,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,26,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,27,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,28,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,29,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,30,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,31,0.45,0.55
"Veritcal Distance, Aligned",1,1,C,32,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,33,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,34,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,35,0.48,0.55
"Veritcal Distance, Aligned",1,1,C,36,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,37,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,38,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,39,0.54,0.55
"Veritcal Distance, Aligned",1,1,C,40,0.47,0.55
"Veritcal Distance, Aligned",1,1,C,41,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,42,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,43,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,44,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,45,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,46,0.45,0.55
"Veritcal Distance, Aligned",1,1,C,47,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,48,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,49,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,50,0.6,0.55
"Veritcal Distance, Aligned",1,1,C,51,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,52,0.57,0.55
"Veritcal Distance, Aligned",1,1,C,53,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,54,0.65,0.55
"Veritcal Distance, Aligned",1,1,C,55,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,56,0.66,0.55
"Veritcal Distance, Aligned",1,1,C,57,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,58,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,59,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,60,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,61,0.54,0.55
"Veritcal Distance, Aligned",1,1,C,62,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,63,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,64,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,65,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,66,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,67,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,68,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,69,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,70,0.45,0.55
"Veritcal Distance, Aligned",1,1,C,71,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,72,0.33,0.55
"Veritcal Distance, Aligned",1,1,C,73,0.4,0.55
"Veritcal Distance, Aligned",1,1,C,74,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,75,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,76,0.43,0.55
"Veritcal Distance, Aligned",1,1,C,77,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,78,0.48,0.55
"Veritcal Distance, Aligned",1,1,C,79,0.6,0.55
"Veritcal Distance, Aligned",1,1,C,80,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,81,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,82,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,83,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,84,0.45,0.55
"Veritcal Distance, Aligned",1,1,C,85,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,86,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,87,0.53,0.55
"Veritcal Distance, Aligned",1,1,C,88,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,89,0.55,0.55
"Veritcal Distance, Aligned",1,1,C,90,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,91,0.5,0.55
"Veritcal Distance, Aligned",1,1,C,92,0.4,0.55
"Veritcal Distance, Aligned",1,1,D,1,0.75,0.8
"Veritcal Distance, Aligned",1,1,D,2,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,3,0.95,0.8
"Veritcal Distance, Aligned",1,1,D,4,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,5,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,6,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,7,0.65,0.8
"Veritcal Distance, Aligned",1,1,D,8,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,9,0.72,0.8
"Veritcal Distance, Aligned",1,1,D,10,0.9,0.8
"Veritcal Distance, Aligned",1,1,D,11,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,12,0.75,0.8
"Veritcal Distance, Aligned",1,1,D,13,0.83,0.8
"Veritcal Distance, Aligned",1,1,D,14,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,15,0.7,0.8
"Veritcal Distance, Aligned",1,1,D,16,0.7,0.8
"Veritcal Distance, Aligned",1,1,D,17,0.7,0.8
"Veritcal Distance, Aligned",1,1,D,18,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,19,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,20,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,21,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,22,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,23,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,24,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,25,0.9,0.8
"Veritcal Distance, Aligned",1,1,D,26,0.75,0.8
"Veritcal Distance, Aligned",1,1,D,27,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,28,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,29,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,30,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,31,0.75,0.8
"Veritcal Distance, Aligned",1,1,D,32,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,33,0.9,0.8
"Veritcal Distance, Aligned",1,1,D,34,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,35,0.9,0.8
"Veritcal Distance, Aligned",1,1,D,36,0.85,0.8
"Veritcal Distance, Aligned",1,1,D,37,0.9,0.8
"Veritcal Distance, Aligned",1,1,D,38,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,39,0.85,0.8
"Veritcal Distance, Aligned",1,1,D,40,0.65,0.8
"Veritcal Distance, Aligned",1,1,D,41,0.75,0.8
"Veritcal Distance, Aligned",1,1,D,42,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,43,0.75,0.8
"Veritcal Distance, Aligned",1,1,D,44,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,45,0.85,0.8
"Veritcal Distance, Aligned",1,1,D,46,0.75,0.8
"Veritcal Distance, Aligned",1,1,D,47,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,48,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,49,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,50,0.75,0.8
"Veritcal Distance, Aligned",1,1,D,51,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,52,0.85,0.8
"Veritcal Distance, Aligned",1,1,D,53,0.75,0.8
"Veritcal Distance, Aligned",1,1,D,54,0.75,0.8
"Veritcal Distance, Aligned",1,1,D,55,0.75,0.8
"Veritcal Distance, Aligned",1,1,D,56,0.75,0.8
"Veritcal Distance, Aligned",1,1,D,57,0.85,0.8
"Veritcal Distance, Aligned",1,1,D,58,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,59,0.75,0.8
"Veritcal Distance, Aligned",1,1,D,60,0.7,0.8
"Veritcal Distance, Aligned",1,1,D,61,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,62,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,63,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,64,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,65,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,66,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,67,0.75,0.8
"Veritcal Distance, Aligned",1,1,D,68,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,69,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,70,0.6,0.8
"Veritcal Distance, Aligned",1,1,D,71,0.7,0.8
"Veritcal Distance, Aligned",1,1,D,72,0.5,0.8
"Veritcal Distance, Aligned",1,1,D,73,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,74,0.7,0.8
"Veritcal Distance, Aligned",1,1,D,75,0.75,0.8
"Veritcal Distance, Aligned",1,1,D,76,0.75,0.8
"Veritcal Distance, Aligned",1,1,D,77,0.75,0.8
"Veritcal Distance, Aligned",1,1,D,78,0.75,0.8
"Veritcal Distance, Aligned",1,1,D,79,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,80,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,81,0.75,0.8
"Veritcal Distance, Aligned",1,1,D,82,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,83,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,84,0.7,0.8
"Veritcal Distance, Aligned",1,1,D,85,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,86,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,87,0.7,0.8
"Veritcal Distance, Aligned",1,1,D,88,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,89,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,90,0.8,0.8
"Veritcal Distance, Aligned",1,1,D,91,0.7,0.8
"Veritcal Distance, Aligned",1,1,D,92,0.75,0.8
"Veritcal Distance, Aligned",2,2,B,1,0.1,0.2
"Veritcal Distance, Aligned",2,2,B,2,0.18,0.2
"Veritcal Distance, Aligned",2,2,B,3,0.15,0.2
"Veritcal Distance, Aligned",2,2,B,4,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,5,0.3,0.2
"Veritcal Distance, Aligned",2,2,B,6,0.15,0.2
"Veritcal Distance, Aligned",2,2,B,7,0.1,0.2
"Veritcal Distance, Aligned",2,2,B,8,0.1,0.2
"Veritcal Distance, Aligned",2,2,B,9,0.1,0.2
"Veritcal Distance, Aligned",2,2,B,10,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,11,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,12,0.15,0.2
"Veritcal Distance, Aligned",2,2,B,13,0.15,0.2
"Veritcal Distance, Aligned",2,2,B,14,0.3,0.2
"Veritcal Distance, Aligned",2,2,B,15,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,16,0.1,0.2
"Veritcal Distance, Aligned",2,2,B,17,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,18,0.15,0.2
"Veritcal Distance, Aligned",2,2,B,19,0.1,0.2
"Veritcal Distance, Aligned",2,2,B,20,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,21,0.25,0.2
"Veritcal Distance, Aligned",2,2,B,22,0.1,0.2
"Veritcal Distance, Aligned",2,2,B,23,0.1,0.2
"Veritcal Distance, Aligned",2,2,B,24,0.1,0.2
"Veritcal Distance, Aligned",2,2,B,25,0.1,0.2
"Veritcal Distance, Aligned",2,2,B,26,0.25,0.2
"Veritcal Distance, Aligned",2,2,B,27,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,28,0.15,0.2
"Veritcal Distance, Aligned",2,2,B,29,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,30,0.25,0.2
"Veritcal Distance, Aligned",2,2,B,31,0.15,0.2
"Veritcal Distance, Aligned",2,2,B,32,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,33,0.1,0.2
"Veritcal Distance, Aligned",2,2,B,34,0.15,0.2
"Veritcal Distance, Aligned",2,2,B,35,0.1,0.2
"Veritcal Distance, Aligned",2,2,B,36,0.15,0.2
"Veritcal Distance, Aligned",2,2,B,37,0.1,0.2
"Veritcal Distance, Aligned",2,2,B,38,0.25,0.2
"Veritcal Distance, Aligned",2,2,B,39,0.33,0.2
"Veritcal Distance, Aligned",2,2,B,40,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,41,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,42,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,43,0.1,0.2
"Veritcal Distance, Aligned",2,2,B,44,0.5,0.2
"Veritcal Distance, Aligned",2,2,B,45,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,46,0.25,0.2
"Veritcal Distance, Aligned",2,2,B,47,0.25,0.2
"Veritcal Distance, Aligned",2,2,B,48,0.25,0.2
"Veritcal Distance, Aligned",2,2,B,49,0.15,0.2
"Veritcal Distance, Aligned",2,2,B,50,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,51,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,52,0.25,0.2
"Veritcal Distance, Aligned",2,2,B,53,0.15,0.2
"Veritcal Distance, Aligned",2,2,B,54,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,55,0.1,0.2
"Veritcal Distance, Aligned",2,2,B,56,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,57,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,58,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,59,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,60,0.15,0.2
"Veritcal Distance, Aligned",2,2,B,61,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,62,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,63,0.1,0.2
"Veritcal Distance, Aligned",2,2,B,64,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,65,0.25,0.2
"Veritcal Distance, Aligned",2,2,B,66,0.15,0.2
"Veritcal Distance, Aligned",2,2,B,67,0.1,0.2
"Veritcal Distance, Aligned",2,2,B,68,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,69,0.3,0.2
"Veritcal Distance, Aligned",2,2,B,70,0.6,0.2
"Veritcal Distance, Aligned",2,2,B,71,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,72,0.5,0.2
"Veritcal Distance, Aligned",2,2,B,73,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,74,0.15,0.2
"Veritcal Distance, Aligned",2,2,B,75,0.1,0.2
"Veritcal Distance, Aligned",2,2,B,76,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,77,0.25,0.2
"Veritcal Distance, Aligned",2,2,B,78,0.23,0.2
"Veritcal Distance, Aligned",2,2,B,79,0.15,0.2
"Veritcal Distance, Aligned",2,2,B,80,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,81,0.1,0.2
"Veritcal Distance, Aligned",2,2,B,82,0.15,0.2
"Veritcal Distance, Aligned",2,2,B,83,0.12,0.2
"Veritcal Distance, Aligned",2,2,B,84,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,85,0.1,0.2
"Veritcal Distance, Aligned",2,2,B,86,0.25,0.2
"Veritcal Distance, Aligned",2,2,B,87,0.15,0.2
"Veritcal Distance, Aligned",2,2,B,88,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,89,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,90,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,91,0.2,0.2
"Veritcal Distance, Aligned",2,2,B,92,0.2,0.2
"Veritcal Distance, Aligned",2,2,C,1,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,2,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,3,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,4,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,5,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,6,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,7,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,8,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,9,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,10,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,11,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,12,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,13,0.71,0.9
"Veritcal Distance, Aligned",2,2,C,14,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,15,0.92,0.9
"Veritcal Distance, Aligned",2,2,C,16,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,17,0.8,0.9
"Veritcal Distance, Aligned",2,2,C,18,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,19,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,20,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,21,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,22,0.8,0.9
"Veritcal Distance, Aligned",2,2,C,23,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,24,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,25,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,26,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,27,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,28,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,29,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,30,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,31,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,32,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,33,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,34,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,35,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,36,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,37,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,38,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,39,0.91,0.9
"Veritcal Distance, Aligned",2,2,C,40,0.8,0.9
"Veritcal Distance, Aligned",2,2,C,41,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,42,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,43,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,44,0.45,0.9
"Veritcal Distance, Aligned",2,2,C,45,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,46,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,47,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,48,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,49,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,50,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,51,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,52,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,53,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,54,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,55,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,56,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,57,0.85,0.9
"Veritcal Distance, Aligned",2,2,C,58,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,59,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,60,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,61,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,62,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,63,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,64,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,65,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,66,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,67,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,68,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,69,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,70,0.6,0.9
"Veritcal Distance, Aligned",2,2,C,71,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,72,0.45,0.9
"Veritcal Distance, Aligned",2,2,C,73,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,74,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,75,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,76,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,77,0.85,0.9
"Veritcal Distance, Aligned",2,2,C,78,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,79,0.95,0.9
"Veritcal Distance, Aligned",2,2,C,80,0.9,0.9
"Veritcal Distance, Aligned",2,2,C,81,0.95,0.9
