County	State	FoodServices-97	FoodServices-2002	FoodServices-2007
Wakulla	 FL	28	24	34
Walton	 FL	87	103	165
Washington	 FL	22	29	36
GEORGIA		13829	15463	18640
Appling	 GA	29	32	31
Atkinson	 GA	7	8	6
Bacon	 GA	17	16	15
Baker	 GA	3	0	2
Baldwin	 GA	66	74	85
Banks	 GA	22	6	46
Barrow	 GA	47	59	73
Bartow	 GA	123	138	184
Ben Hill	 GA	26	31	38
Berrien	 GA	15	16	21
Bibb	 GA	340	356	395
Bleckley	 GA	15	13	10
Brantley	 GA	10	10	10
Brooks	 GA	13	10	10
Bryan	 GA	29	39	65
Bulloch	 GA	99	101	133
Burke	 GA	21	24	22
Butts	 GA	28	34	28
Calhoun	 GA	8	6	5
Camden	 GA	68	76	101
Candler	 GA	17	24	20
Carroll	 GA	124	139	201
Catoosa	 GA	57	62	93
Charlton	 GA	11	15	19
Chatham	 GA	581	654	807
Chattahoochee	 GA	2	2	4
Chattooga	 GA	31	35	34
Cherokee	 GA	139	222	308
Clarke	 GA	240	286	331
Clay	 GA	2	1	1
Clayton	 GA	376	372	414
Clinch	 GA	8	11	11
Cobb	 GA	1098	1213	1460
Coffee	 GA	47	59	67
Colquitt	 GA	52	57	59
Columbia	 GA	100	105	164
Cook	 GA	30	38	38
Coweta	 GA	103	131	159
Crawford	 GA	2	2	6
Crisp	 GA	51	49	51
Dade	 GA	22	22	22
Dawson	 GA	16	27	51
Decatur	 GA	30	36	50
DeKalb	 GA	1232	1145	1425
Dodge	 GA	22	21	28
Dooly	 GA	16	12	16
Dougherty	 GA	192	208	216
Douglas	 GA	127	174	214
Early	 GA	17	13	21
Echols	 GA	0	0	0
Effingham	 GA	31	40	49
Elbert	 GA	34	34	29
Emanuel	 GA	26	31	33
Evans	 GA	19	18	17
Fannin	 GA	35	45	59
Fayette	 GA	118	153	204
Floyd	 GA	151	185	198
Forsyth	 GA	89	127	240
Franklin	 GA	35	38	45
Fulton	 GA	2292	2608	2782
Gilmer	 GA	30	34	57
Glascock	 GA	2	2	2
Glynn	 GA	214	229	251
Gordon	 GA	76	81	89
Grady	 GA	26	23	26
Greene	 GA	19	22	27
Gwinnett	 GA	896	1170	1629
Habersham	 GA	64	68	81
Hall	 GA	202	232	272
Hancock	 GA	5	5	9
Haralson	 GA	31	34	34
Harris	 GA	35	41	38
Hart	 GA	22	25	36
Heard	 GA	5	9	6
Henry	 GA	139	235	348
Houston	 GA	183	201	248
Irwin	 GA	9	6	6
Jackson	 GA	53	65	58
Jasper	 GA	7	12	11
Jeff Davis	 GA	20	23	21
Jefferson	 GA	17	24	26
Jenkins	 GA	12	15	13
Johnson	 GA	7	3	6
Jones	 GA	8	12	20
Lamar	 GA	18	21	28
Lanier	 GA	5	5	10
Laurens	 GA	76	78	97
Lee	 GA	9	15	16
Liberty	 GA	65	77	95
Lincoln	 GA	12	9	11
Long	 GA	6	7	6
Lowndes	 GA	194	210	252
Lumpkin	 GA	34	42	53
McDuffie	 GA	34	35	41
McIntosh	 GA	23	23	40
Macon	 GA	15	13	19
Madison	 GA	50	13	23
Marion	 GA	5	7	7
Meriwether	 GA	29	33	31
Miller	 GA	7	10	10
Mitchell	 GA	30	34	29
Monroe	 GA	33	39	42
Montgomery	 GA	7	7	7
Morgan	 GA	37	36	56
Murray	 GA	39	37	43
Muscogee	 GA	365	354	418
Newton	 GA	58	86	103
Oconee	 GA	13	20	58
Oglethorpe	 GA	8	7	9
Paulding	 GA	51	72	123
Peach	 GA	44	55	49
Pickens	 GA	25	34	49
Pierce	 GA	21	16	19
Pike	 GA	10	9	12
Polk	 GA	43	56	63
Pulaski	 GA	16	16	21
Putnam	 GA	22	25	39
Quitman	 GA	1	2	3
Rabun	 GA	47	52	66
Randolph	 GA	14	11	14
Richmond	 GA	400	390	431
Rockdale	 GA	122	145	193
Schley	 GA	4	4	6
Screven	 GA	18	18	20
Seminole	 GA	10	11	19
Spalding	 GA	92	96	111
Stephens	 GA	44	43	50
Stewart	 GA	6	9	7
Sumter	 GA	51	52	56
Talbot	 GA	6	0	0
Taliaferro	 GA	1	2	1
Tattnall	 GA	19	19	21
Taylor	 GA	6	4	8
Telfair	 GA	19	19	19
Terrell	 GA	9	13	10
Thomas	 GA	64	69	82
Tift	 GA	80	83	102
Toombs	 GA	60	63	65
Towns	 GA	24	32	42
Treutlen	 GA	8	8	4
Troup	 GA	111	109	131
Turner	 GA	16	19	17
Twiggs	 GA	4	5	7
Union	 GA	27	38	43
Upson	 GA	46	39	50
Walker	 GA	51	60	56
Walton	 GA	45	70	90
Ware	 GA	63	64	75
Warren	 GA	1	3	7
Washington	 GA	20	30	32
Wayne	 GA	34	49	57
Webster	 GA	0	0	1
Wheeler	 GA	3	5	3
White	 GA	73	78	88
Whitfield	 GA	143	172	189
Wilcox	 GA	1	4	3
Wilkes	 GA	13	14	18
Wilkinson	 GA	8	6	7
Worth	 GA	18	18	17
HAWAII		3081	3138	3528
Hawaii	 HI	326	350	421
Honolulu	 HI	2125	2119	2347
Kalawao	 HI	0	0	0
Kauai	 HI	210	208	234
Maui	 HI	420	461	526
IDAHO		2980	3088	3482
Ada	 ID	649	745	900
Adams	 ID	14	18	16
Bannock	 ID	188	169	180
Bear Lake	 ID	13	17	15
Benewah	 ID	26	20	21
Bingham	 ID	51	48	55
Blaine	 ID	131	107	114
Boise	 ID	23	25	23
Bonner	 ID	115	116	124
Bonneville	 ID	181	197	200
Boundary	 ID	24	22	23
Butte	 ID	9	8	8
Camas	 ID	5	5	6
Canyon	 ID	188	204	242
Caribou	 ID	16	14	11
Cassia	 ID	48	43	47
Clark	 ID	3	2	1
Clearwater	 ID	31	29	34
Custer	 ID	26	22	33
Elmore	 ID	53	57	55
Franklin	 ID	14	17	20
Fremont	 ID	32	36	33
Gem	 ID	22	23	28
Gooding	 ID	28	24	30
Idaho	 ID	56	62	66
Jefferson	 ID	18	22	24
Jerome	 ID	30	30	33
Kootenai	 ID	298	307	363
Latah	 ID	91	97	104
Lemhi	 ID	36	34	34
Lewis	 ID	18	14	13
Lincoln	 ID	7	7	10
Madison	 ID	40	37	50
Minidoka	 ID	25	27	28
Nez Perce	 ID	103	101	95
Oneida	 ID	7	6	9
Owyhee	 ID	18	14	21
Payette	 ID	25	26	33
Power	 ID	16	15	17
Shoshone	 ID	49	52	50
Teton	 ID	19	24	29
Twin Falls	 ID	148	158	177
Valley	 ID	65	64	82
Washington	 ID	21	23	25
ILLINOIS		23984	24245	26774
Adams	 IL	139	141	142
Alexander	 IL	23	18	19
Bond	 IL	36	33	31
Boone	 IL	53	54	71
Brown	 IL	12	11	15
Bureau	 IL	86	79	78
Calhoun	 IL	18	19	20
Carroll	 IL	55	49	40
Cass	 IL	36	34	33
Champaign	 IL	449	433	502
Christian	 IL	76	78	76
Clark	 IL	40	33	38
Clay	 IL	30	34	30
Clinton	 IL	92	78	76
Coles	 IL	136	118	127
Cook	 IL	9912	10000	10887
Crawford	 IL	34	37	37
Cumberland	 IL	14	15	11
DeKalb	 IL	190	179	214
De Witt	 IL	42	38	38
Douglas	 IL	47	48	54
DuPage	 IL	1698	1829	2071
Edgar	 IL	31	27	28
Edwards	 IL	7	6	8
Effingham	 IL	90	102	107
Fayette	 IL	39	36	46
Ford	 IL	32	33	36
Franklin	 IL	82	70	82
Fulton	 IL	81	73	84
Gallatin	 IL	8	8	10
Greene	 IL	31	31	24
Grundy	 IL	72	94	101
Hamilton	 IL	7	8	8
Hancock	 IL	44	45	34
Hardin	 IL	6	8	7
Henderson	 IL	12	19	20
Henry	 IL	113	98	97
Iroquois	 IL	67	62	64
Jackson	 IL	156	140	155
Jasper	 IL	18	15	13
Jefferson	 IL	72	76	82
Jersey	 IL	50	42	59
Jo Daviess	 IL	101	86	101
Johnson	 IL	15	18	16
Kane	 IL	633	727	904
Kankakee	 IL	229	207	229
Kendall	 IL	76	82	152
Knox	 IL	132	133	132
Lake	 IL	1245	1325	1492
LaSalle	 IL	332	324	322
Lawrence	 IL	24	25	22
Lee	 IL	68	72	89
Livingston	 IL	86	82	79
Logan	 IL	77	73	73
McDonough	 IL	78	87	107
McHenry	 IL	409	452	539
McLean	 IL	336	324	375
Macon	 IL	233	218	219
Macoupin	 IL	90	88	84
Madison	 IL	537	532	596
Marion	 IL	95	86	88
Marshall	 IL	31	27	30
Mason	 IL	48	34	36
Massac	 IL	38	35	27
Menard	 IL	24	18	22
Mercer	 IL	34	30	20
Monroe	 IL	51	50	66
Montgomery	 IL	77	63	74
Morgan	 IL	78	86	88
Moultrie	 IL	27	16	19
Ogle	 IL	93	101	108
Peoria	 IL	494	476	486
Perry	 IL	34	28	34
Piatt	 IL	28	32	31
Pike	 IL	39	34	40
Pope	 IL	8	5	10
Pulaski	 IL	10	8	9
Putnam	 IL	11	13	13
Randolph	 IL	75	67	74
Richland	 IL	34	29	31
Rock Island	 IL	373	355	364
St. Clair	 IL	477	495	564
Saline	 IL	58	50	45
Sangamon	 IL	497	506	521
Schuyler	 IL	15	13	14
Scott	 IL	9	8	9
Shelby	 IL	40	43	38
Stark	 IL	6	8	8
Stephenson	 IL	103	100	95
Tazewell	 IL	265	288	334
Union	 IL	26	28	29
Vermilion	 IL	185	168	156
Wabash	 IL	24	20	21
Warren	 IL	37	35	29
Washington	 IL	43	35	37
Wayne	 IL	20	22	26
White	 IL	28	21	26
Whiteside	 IL	112	115	119
Will	 IL	646	769	1029
Williamson	 IL	135	126	145
Winnebago	 IL	556	534	591
Woodford	 IL	63	62	62
INDIANA		11705	11788	12932
Adams	 IN	61	54	53
Allen	 IN	626	661	703
Bartholomew	 IN	135	121	160
Benton	 IN	19	11	10
Blackford	 IN	21	23	20
Boone	 IN	85	87	102
Brown	 IN	46	44	47
Carroll	 IN	26	27	33
Cass	 IN	88	79	80
Clark	 IN	192	199	204
Clay	 IN	50	44	46
Clinton	 IN	63	54	56
Crawford	 IN	18	15	19
Daviess	 IN	59	54	62
Dearborn	 IN	79	75	79
Decatur	 IN	47	48	56
DeKalb	 IN	78	75	85
Delaware	 IN	228	225	216
Dubois	 IN	91	82	104
Elkhart	 IN	354	352	385
Fayette	 IN	49	45	47
Floyd	 IN	107	104	119
Fountain	 IN	48	38	36
Franklin	 IN	38	38	41
Fulton	 IN	46	48	47
Gibson	 IN	62	64	71
Grant	 IN	140	144	148
Greene	 IN	49	43	49
Hamilton	 IN	252	355	499
Hancock	 IN	79	83	97
Harrison	 IN	44	51	55
Hendricks	 IN	127	179	250
Henry	 IN	68	74	76
Howard	 IN	182	178	186
Huntington	 IN	85	84	100
Jackson	 IN	72	77	83
Jasper	 IN	57	57	65
Jay	 IN	41	39	36
Jefferson	 IN	77	74	77
Jennings	 IN	31	31	29
Johnson	 IN	214	228	265
Knox	 IN	80	74	83
Kosciusko	 IN	152	147	151
LaGrange	 IN	60	61	65
Lake	 IN	931	912	993
LaPorte	 IN	234	233	259
Lawrence	 IN	74	68	74
Madison	 IN	244	240	246
Marion	 IN	1893	1920	2111
Marshall	 IN	97	88	98
Martin	 IN	21	22	25
Miami	 IN	58	62	59
Monroe	 IN	302	300	335
Montgomery	 IN	88	82	86
Morgan	 IN	80	89	80
Newton	 IN	28	33	32
Noble	 IN	69	69	82
Ohio	 IN	9	11	15
Orange	 IN	35	28	28
Owen	 IN	20	22	23
Parke	 IN	34	29	36
Perry	 IN	44	40	41
Pike	 IN	12	12	11
Porter	 IN	259	271	301
Posey	 IN	35	36	41
Pulaski	 IN	22	24	28
Putnam	 IN	75	77	79
Randolph	 IN	44	43	42
Ripley	 IN	58	49	40
Rush	 IN	30	28	27
St. Joseph	 IN	537	511	555
Scott	 IN	38	41	44
Shelby	 IN	57	61	68
Spencer	 IN	28	26	29
Starke	 IN	37	27	32
Steuben	 IN	88	84	100
Sullivan	 IN	28	26	35
Switzerland	 IN	9	12	20
Tippecanoe	 IN	312	335	389
Tipton	 IN	25	29	27
Union	 IN	10	7	7
Vanderburgh	 IN	426	414	457
Vermillion	 IN	35	35	39
Vigo	 IN	268	269	252
Wabash	 IN	71	65	62
Warren	 IN	7	10	9
Warrick	 IN	68	58	72
Washington	 IN	31	35	31
Wayne	 IN	145	145	147
Wells	 IN	36	34	42
White	 IN	66	76	70
Whitley	 IN	61	54	58
IOWA		6830	6586	7014
Adair	 IA	19	16	14
Adams	 IA	9	9	7
Allamakee	 IA	42	35	37
Appanoose	 IA	35	28	30
Audubon	 IA	16	12	8
Benton	 IA	43	38	42
Black Hawk	 IA	293	285	288
Boone	 IA	48	45	45
Bremer	 IA	47	36	46
Buchanan	 IA	38	36	39
Buena Vista	 IA	47	46	47
Butler	 IA	29	23	22
Calhoun	 IA	17	14	19
Carroll	 IA	64	48	56
Cass	 IA	43	42	33
Cedar	 IA	37	40	36
Cerro Gordo	 IA	139	141	148
Cherokee	 IA	35	29	30
Chickasaw	 IA	33	31	30
Clarke	 IA	26	27	22
Clay	 IA	53	49	49
Clayton	 IA	51	65	57
Clinton	 IA	132	119	117
Crawford	 IA	49	44	35
Dallas	 IA	55	66	132
Davis	 IA	13	14	13
Decatur	 IA	16	17	13
Delaware	 IA	34	29	34
Des Moines	 IA	109	93	98
Dickinson	 IA	98	85	104
Dubuque	 IA	233	240	253
Emmet	 IA	25	26	23
Fayette	 IA	50	46	50
Floyd	 IA	37	41	43
Franklin	 IA	19	19	13
Fremont	 IA	18	16	26
Greene	 IA	22	20	14
Grundy	 IA	23	22	21
Guthrie	 IA	30	32	25
Hamilton	 IA	35	27	33
Hancock	 IA	22	19	17
Hardin	 IA	43	43	33
Harrison	 IA	30	32	31
Henry	 IA	44	47	54
Howard	 IA	29	22	21
Humboldt	 IA	21	25	24
Ida	 IA	22	18	14
Iowa	 IA	54	51	41
Jackson	 IA	58	47	45
Jasper	 IA	74	72	68
Jefferson	 IA	41	33	39
Johnson	 IA	271	287	329
Jones	 IA	37	35	34
Keokuk	 IA	20	13	11
Kossuth	 IA	42	33	40
Lee	 IA	108	101	96
Linn	 IA	439	417	488
Louisa	 IA	27	25	20
Lucas	 IA	18	14	13
Lyon	 IA	26	18	17
Madison	 IA	21	23	26
Mahaska	 IA	43	40	36
Marion	 IA	59	63	68
Marshall	 IA	86	88	86
Mills	 IA	23	17	16
Mitchell	 IA	21	25	20
Monona	 IA	36	26	28
Monroe	 IA	18	17	20
Montgomery	 IA	32	25	26
Muscatine	 IA	85	82	88
O'Brien	 IA	44	32	34
Osceola	 IA	14	12	14
Page	 IA	41	48	34
Palo Alto	 IA	30	25	23
Plymouth	 IA	57	63	60
Pocahontas	 IA	25	17	13
Polk	 IA	897	928	1064
Pottawattamie	 IA	197	176	193
Poweshiek	 IA	43	42	48
Ringgold	 IA	9	11	15
Sac	 IA	25	28	27
Scott	 IA	378	359	421
Shelby	 IA	34	33	27
Sioux	 IA	71	72	78
Story	 IA	202	210	224
Tama	 IA	33	34	33
Taylor	 IA	11	11	10
Union	 IA	28	26	27
Van Buren	 IA	10	13	12
Wapello	 IA	85	80	76
Warren	 IA	58	58	60
Washington	 IA	42	39	41
Wayne	 IA	17	15	10
Webster	 IA	93	81	81
Winnebago	 IA	28	26	18
Winneshiek	 IA	51	54	58
Woodbury	 IA	246	238	262
Worth	 IA	9	11	13
Wright	 IA	40	35	37
KANSAS		5677	5584	5866
Allen	 KS	38	36	29
Anderson	 KS	22	14	17
Atchison	 KS	32	33	35
