Station,Date,Time,WL,Sigma,I,L
9431647,1/5/2003,7:00,1.16,0.269,0,0
9431647,1/5/2003,8:00,1.643,0.203,0,0
9431647,1/5/2003,9:00,1.939,0.183,0,0
9431647,1/5/2003,10:00,2.08,0.193,0,0
9431647,1/5/2003,11:00,2.125,0.237,0,0
9431647,1/5/2003,12:00,1.764,0.173,0,0
9431647,1/5/2003,13:00,1.403,0.188,0,0
9431647,1/5/2003,14:00,1.206,0.188,0,0
9431647,1/5/2003,15:00,1.164,0.195,0,0
9431647,1/5/2003,16:00,1.22,0.184,0,0
9431647,1/5/2003,17:00,1.447,0.183,0,0
9431647,1/5/2003,18:00,1.73,0.198,0,0
9431647,1/5/2003,19:00,2.136,0,0,
9431647,1/5/2003,20:00,2.305,0.155,0,0
9431647,1/5/2003,21:00,2.443,0.208,0,0
9431647,1/5/2003,22:00,2.242,0.156,0,0
9431647,1/5/2003,23:00,1.955,0,0,
9431647,1/6/2003,0:00,1.343,0.148,0,0
9431647,1/6/2003,1:00,0.741,0.149,0,0
9431647,1/6/2003,2:00,0.235,0.128,0,0
9431647,1/6/2003,3:00,-0.139,0.121,0,0
9431647,1/6/2003,4:00,-0.303,0.102,0,0
9431647,1/6/2003,5:00,-0.075,0.121,0,0
9431647,1/6/2003,6:00,0.29,0.135,0,0
9431647,1/6/2003,7:00,0.822,0.105,0,0
9431647,1/6/2003,8:00,1.316,0.142,0,0
9431647,1/6/2003,9:00,1.757,0.106,0,0
9431647,1/6/2003,10:00,2.033,0.108,0,0
9431647,1/6/2003,11:00,2.083,0.126,0,0
9431647,1/6/2003,12:00,1.93,0.103,0,0
9431647,1/6/2003,13:00,1.665,0.128,0,0
9431647,1/6/2003,14:00,1.346,0.088,0,0
9431647,1/6/2003,15:00,1.178,0.171,0,0
9431647,1/6/2003,16:00,1.092,0.16,0,0
9431647,1/6/2003,17:00,1.223,0.196,0,0
9431647,1/6/2003,18:00,1.51,0.171,0,0
9431647,1/6/2003,19:00,1.842,0.141,0,0
9431647,1/6/2003,20:00,1.963,0.171,0,0
9431647,1/6/2003,21:00,2.336,0.264,0,0
9431647,1/6/2003,22:00,2.307,0.153,0,0
9431647,1/6/2003,23:00,2.076,0.247,0,0
9431647,1/7/2003,0:00,1.54,0.254,0,0
9431647,1/7/2003,1:00,1.208,0.241,0,0
9431647,1/7/2003,2:00,0.742,0,0,
9431647,1/7/2003,3:00,0.233,0.185,0,0
9431647,1/7/2003,4:00,-0.094,0.136,0,0
9431647,1/7/2003,5:00,-0.144,0.265,0,0
9431647,1/7/2003,6:00,0.238,0.211,0,0
9431647,1/7/2003,7:00,0.544,0.166,0,0
9431647,1/7/2003,8:00,0.977,0.213,0,0
9431647,1/7/2003,9:00,1.551,0.239,0,0
9431647,1/7/2003,10:00,1.944,0.243,0,0
9431647,1/7/2003,11:00,2.016,0.218,0,0
9431647,1/7/2003,12:00,2.101,0.213,0,0
9431647,1/7/2003,13:00,1.813,0.186,0,0
9431647,1/7/2003,14:00,1.531,0,0,
9431647,1/7/2003,15:00,1.379,0.166,0,0
9431647,1/7/2003,16:00,1.119,0.136,0,0
9431647,1/7/2003,17:00,1.081,0.167,0,0
9431647,1/7/2003,18:00,1.191,0.13,0,0
9431647,1/7/2003,19:00,1.399,0.154,0,0
9431647,1/7/2003,20:00,1.71,0.147,0,0
9431647,1/7/2003,21:00,1.923,0,0,
9431647,1/7/2003,22:00,2.055,0.162,0,0
9431647,1/7/2003,23:00,2.013,0.175,0,0
9431647,1/8/2003,0:00,1.774,0.134,0,0
9431647,1/8/2003,1:00,1.423,0.158,0,0
9431647,1/8/2003,2:00,0.997,0.154,0,0
9431647,1/8/2003,3:00,0.568,0.147,0,0
9431647,1/8/2003,4:00,0.307,0.128,0,0
9431647,1/8/2003,5:00,0.133,0.122,0,0
9431647,1/8/2003,6:00,0.247,0.116,0,0
9431647,1/8/2003,7:00,0.488,0.112,0,0
9431647,1/8/2003,8:00,0.911,0.114,0,0
9431647,1/8/2003,9:00,1.361,0.113,0,0
9431647,1/8/2003,10:00,1.753,0.112,0,0
9431647,1/8/2003,11:00,1.99,0.133,0,0
9431647,1/8/2003,12:00,2.094,0.102,0,0
9431647,1/8/2003,13:00,2.065,0.12,0,0
9431647,1/8/2003,14:00,1.834,0.113,0,0
9431647,1/8/2003,15:00,1.552,0.096,0,0
9431647,1/8/2003,16:00,1.287,0.104,0,0
9431647,1/8/2003,17:00,1.154,0.076,0,0
9431647,1/8/2003,18:00,1.116,0.077,0,0
9431647,1/8/2003,19:00,1.188,0.109,0,0
9431647,1/8/2003,20:00,1.364,0.095,0,0
9431647,1/8/2003,21:00,1.607,0.132,0,0
9431647,1/8/2003,22:00,1.773,0.092,0,0
9431647,1/8/2003,23:00,1.876,0.125,0,0
9431647,1/9/2003,0:00,1.824,0.09,0,0
9431647,1/9/2003,1:00,1.639,0.097,0,0
9431647,1/9/2003,2:00,1.31,0.086,0,0
9431647,1/9/2003,3:00,0.966,0.08,0,0
9431647,1/9/2003,4:00,0.633,0.105,0,0
9431647,1/9/2003,5:00,0.447,0.082,0,0
9431647,1/9/2003,6:00,0.378,0,0,
9431647,1/9/2003,7:00,0.524,0.085,0,0
9431647,1/9/2003,8:00,0.831,0.085,0,0
9431647,1/9/2003,9:00,1.173,0.089,0,0
9431647,1/9/2003,10:00,1.554,0.098,0,0
9431647,1/9/2003,11:00,1.86,0.076,0,0
9431647,1/9/2003,12:00,2.092,0.084,0,0
9431647,1/9/2003,13:00,2.131,0.073,0,0
9431647,1/9/2003,14:00,2,0.067,0,0
9431647,1/9/2003,15:00,1.777,0.079,0,0
9431647,1/9/2003,16:00,1.508,0.069,0,0
9431647,1/9/2003,17:00,1.261,0.071,0,0
9431647,1/9/2003,18:00,1.078,0.078,0,0
9431647,1/9/2003,19:00,1.026,0.073,0,0
9431647,1/9/2003,20:00,1.117,0.082,0,0
9431647,1/9/2003,21:00,1.285,0.071,0,0
9431647,1/9/2003,22:00,1.463,0.079,0,0
9431647,1/9/2003,23:00,1.588,0.088,0,0
9431647,1/10/2003,0:00,1.669,0.086,0,0
9431647,1/10/2003,1:00,1.641,0.096,0,0
9431647,1/10/2003,2:00,1.479,0.059,0,0
9431647,1/10/2003,3:00,1.253,0.093,0,0
9431647,1/10/2003,4:00,1.013,0.064,0,0
9431647,1/10/2003,5:00,0.787,0.069,0,0
9431647,1/10/2003,6:00,0.665,0.076,0,0
9431647,1/10/2003,7:00,0.693,0.093,0,0
9431647,1/10/2003,8:00,0.826,0.1,0,0
9431647,1/10/2003,9:00,1.106,0.063,0,0
9431647,1/10/2003,10:00,1.457,0.089,0,0
9431647,1/10/2003,11:00,1.762,0.098,0,0
9431647,1/10/2003,12:00,2.021,0.104,0,0
9431647,1/10/2003,13:00,2.168,0.09,0,0
9431647,1/10/2003,14:00,2.166,0.09,0,0
9431647,1/10/2003,15:00,2,0.083,0,0
9431647,1/10/2003,16:00,1.77,0.085,0,0
9431647,1/10/2003,17:00,1.494,0.093,0,0
9431647,1/10/2003,18:00,1.275,0.097,0,0
9431647,1/10/2003,19:00,1.073,0.105,0,0
9431647,1/10/2003,20:00,0.984,0.11,0,0
9431647,1/10/2003,21:00,1.073,0.137,0,0
9431647,1/10/2003,22:00,1.171,0.106,0,0
9431647,1/10/2003,23:00,1.335,0.114,0,0
9431647,1/11/2003,0:00,1.523,0.097,0,0
9431647,1/11/2003,1:00,1.631,0.104,0,0
9431647,1/11/2003,2:00,1.616,0.131,0,0
9431647,1/11/2003,3:00,1.457,0.106,0,0
9431647,1/11/2003,4:00,1.339,0.09,0,0
9431647,1/11/2003,5:00,1.132,0.106,0,0
9431647,1/11/2003,6:00,0.997,0.089,0,0
9431647,1/11/2003,7:00,0.935,0.121,0,0
9431647,1/11/2003,8:00,0.984,0.159,0,0
9431647,1/11/2003,9:00,1.135,0.164,0,0
9431647,1/11/2003,10:00,1.362,0.143,0,0
9431647,1/11/2003,11:00,1.678,0.134,0,0
9431647,1/11/2003,12:00,1.971,0.169,0,0
9431647,1/11/2003,13:00,2.193,0.21,0,0
9431647,1/11/2003,14:00,2.25,0.109,0,0
9431647,1/11/2003,15:00,2.238,0.137,0,0
9431647,1/11/2003,16:00,2.043,0.133,0,0
9431647,1/11/2003,17:00,1.81,0.152,0,0
9431647,1/11/2003,18:00,1.462,0.13,0,0
9431647,1/11/2003,19:00,1.259,0.135,0,0
9431647,1/11/2003,20:00,0.955,0.148,0,0
9431647,1/11/2003,21:00,0.924,0.129,0,0
9431647,1/11/2003,22:00,0.954,0.156,0,0
9431647,1/11/2003,23:00,1.088,0.182,0,0
9431647,1/12/2003,0:00,1.272,0.142,0,0
9431647,1/12/2003,1:00,1.412,0.171,0,0
9431647,1/12/2003,2:00,1.632,0.198,0,0
9431647,1/12/2003,3:00,1.635,0.186,0,0
9431647,1/12/2003,4:00,1.574,0.163,0,0
9431647,1/12/2003,5:00,1.443,0.182,0,0
9431647,1/12/2003,6:00,1.339,0.184,0,0
9431647,1/12/2003,7:00,1.218,0.164,0,0
9431647,1/12/2003,8:00,1.232,0.182,0,0
9431647,1/12/2003,9:00,1.297,0.142,0,0
9431647,1/12/2003,10:00,1.426,0.13,0,0
9431647,1/12/2003,11:00,1.601,0.179,0,0
9431647,1/12/2003,12:00,1.88,0.13,0,0
9431647,1/12/2003,13:00,2.157,0.131,0,0
9431647,1/12/2003,14:00,2.315,0.16,0,0
9431647,1/12/2003,15:00,2.333,0.171,0,0
9431647,1/12/2003,16:00,2.292,0.193,0,0
9431647,1/12/2003,17:00,2.077,0.17,0,0
9431647,1/12/2003,18:00,1.777,0.118,0,0
9431647,1/12/2003,19:00,1.362,0.104,0,0
9431647,1/12/2003,20:00,0.976,0.147,0,0
9431647,1/12/2003,21:00,0.783,0.138,0,0
9431647,1/12/2003,22:00,0.675,0.142,0,0
9431647,1/12/2003,23:00,0.682,0.144,0,0
9431647,1/13/2003,0:00,0.856,0.164,0,0
9431647,1/13/2003,1:00,1.079,0.119,0,0
9431647,1/13/2003,2:00,1.379,0.181,0,0
9431647,1/13/2003,3:00,1.492,0.153,0,0
9431647,1/13/2003,4:00,1.624,0.162,0,0
9431647,1/13/2003,5:00,1.644,0.171,0,0
9431647,1/13/2003,6:00,1.53,0.132,0,0
9431647,1/13/2003,7:00,1.388,0.16,0,0
9431647,1/13/2003,8:00,1.301,0,0,
9431647,1/13/2003,9:00,1.264,0.117,0,0
9431647,1/13/2003,10:00,1.284,0.117,0,0
9431647,1/13/2003,11:00,1.453,0.121,0,0
9431647,1/13/2003,12:00,1.662,0.108,0,0
9431647,1/13/2003,13:00,1.942,0.12,0,0
9431647,1/13/2003,14:00,2.169,0.152,0,0
9431647,1/13/2003,15:00,2.275,0.132,0,0
9431647,1/13/2003,16:00,2.297,0.127,0,0
9431647,1/13/2003,17:00,2.176,0.121,0,0
9431647,1/13/2003,18:00,1.876,0.1,0,0
9431647,1/13/2003,19:00,1.502,0.084,0,0
9431647,1/13/2003,20:00,1.118,0.09,0,0
9431647,1/13/2003,21:00,0.709,0.087,0,0
9431647,1/13/2003,22:00,0.485,0.059,0,0
9431647,1/13/2003,23:00,0.368,0.094,0,0
9431647,1/14/2003,0:00,0.423,0.081,0,0
9431647,1/14/2003,1:00,0.651,0.104,0,0
9431647,1/14/2003,2:00,0.946,0.101,0,0
9431647,1/14/2003,3:00,1.224,0.068,0,0
9431647,1/14/2003,4:00,1.446,0.082,0,0
9431647,1/14/2003,5:00,1.576,0.098,0,0
9431647,1/14/2003,6:00,1.616,0.104,0,0
9431647,1/14/2003,7:00,1.539,0.097,0,0
9431647,1/14/2003,8:00,1.417,0.081,0,0
9431647,1/14/2003,9:00,1.308,0.098,0,0
9431647,1/14/2003,10:00,1.268,0.078,0,0
9431647,1/14/2003,11:00,1.349,0.087,0,0
9431647,1/14/2003,12:00,1.501,0.078,0,0
9431647,1/14/2003,13:00,1.715,0.096,0,0
9431647,1/14/2003,14:00,1.983,0.097,0,0
9431647,1/14/2003,15:00,2.196,0.094,0,0
9431647,1/14/2003,16:00,2.307,0.114,0,0
9431647,1/14/2003,17:00,2.25,0.083,0,0
9431647,1/14/2003,18:00,2.023,0.075,0,0
9431647,1/14/2003,19:00,1.665,0.082,0,0
9431647,1/14/2003,20:00,1.191,0.096,0,0
9431647,1/14/2003,21:00,0.767,0.082,0,0
9431647,1/14/2003,22:00,0.389,0,0,
9431647,1/14/2003,23:00,0.136,0.087,0,0
9431647,1/15/2003,0:00,0.125,0.079,0,0
9431647,1/15/2003,1:00,0.306,0.068,0,0
9431647,1/15/2003,2:00,0.565,0.061,0,0
9431647,1/15/2003,3:00,0.903,0.078,0,0
9431647,1/15/2003,4:00,1.192,0.095,0,0
9431647,1/15/2003,5:00,1.469,0.089,0,0
9431647,1/15/2003,6:00,1.63,0.074,0,0
9431647,1/15/2003,7:00,1.596,0.1,0,0
9431647,1/15/2003,8:00,1.555,0.076,0,0
9431647,1/15/2003,9:00,1.409,0.072,0,0
9431647,1/15/2003,10:00,1.284,0.1,0,0
9431647,1/15/2003,11:00,1.246,0.088,0,0
9431647,1/15/2003,12:00,1.334,0.074,0,0
9431647,1/15/2003,13:00,1.49,0.092,0,0
9431647,1/15/2003,14:00,1.772,0.075,0,0
9431647,1/15/2003,15:00,2.063,0.069,0,0
9431647,1/15/2003,16:00,2.241,0.091,0,0
9431647,1/15/2003,17:00,2.29,0.067,0,0
9431647,1/15/2003,18:00,2.239,0.07,0,0
9431647,1/15/2003,19:00,1.919,0.065,0,0
9431647,1/15/2003,20:00,1.484,0.074,0,0
9431647,1/15/2003,21:00,0.965,0.051,0,0
9431647,1/15/2003,22:00,0.483,0.052,0,0
9431647,1/15/2003,23:00,0.088,0.053,0,0
9431647,1/16/2003,0:00,-0.114,0.066,0,0
9431647,1/16/2003,1:00,-0.055,0.054,0,0
9431647,1/16/2003,2:00,0.176,0.054,0,0
9431647,1/16/2003,3:00,0.513,0.046,0,0
9431647,1/16/2003,4:00,0.911,0.057,0,0
9431647,1/16/2003,5:00,1.307,0.054,0,0
9431647,1/16/2003,6:00,1.583,0.059,0,0
9431647,1/16/2003,7:00,1.71,0.062,0,0
9431647,1/16/2003,8:00,1.687,0.056,0,0
9431647,1/16/2003,9:00,1.54,0.052,0,0
9431647,1/16/2003,10:00,1.406,0.059,0,0
9431647,1/16/2003,11:00,1.267,0.055,0,0
9431647,1/16/2003,12:00,1.226,0.072,0,0
9431647,1/16/2003,13:00,1.321,0.069,0,0
9431647,1/16/2003,14:00,1.58,0.066,0,0
9431647,1/16/2003,15:00,1.888,0.081,0,0
9431647,1/16/2003,16:00,2.155,0.081,0,0
9431647,1/16/2003,17:00,2.356,0.092,0,0
9431647,1/16/2003,18:00,2.366,0.095,0,0
9431647,1/16/2003,19:00,2.219,0,0,
9431647,1/16/2003,20:00,1.804,0.079,0,0
9431647,1/16/2003,21:00,1.263,0,0,
9431647,1/16/2003,22:00,0.705,0.069,0,0
9431647,1/16/2003,23:00,0.218,0.075,0,0
9431647,1/17/2003,0:00,-0.11,0.091,0,0
9431647,1/17/2003,1:00,-0.243,0.06,0,0
9431647,1/17/2003,2:00,-0.107,0.086,0,0
9431647,1/17/2003,3:00,0.213,0.083,0,0
9431647,1/17/2003,4:00,0.613,0.099,0,0
9431647,1/17/2003,5:00,1.092,0.072,0,0
9431647,1/17/2003,6:00,1.477,0.097,0,0
9431647,1/17/2003,7:00,1.755,0.083,0,0
9431647,1/17/2003,8:00,1.787,0.101,0,0
9431647,1/17/2003,9:00,1.728,0.104,0,0
9431647,1/17/2003,10:00,1.559,0.094,0,0
9431647,1/17/2003,11:00,1.347,0.087,0,0
9431647,1/17/2003,12:00,1.203,0.082,0,0
9431647,1/17/2003,13:00,1.264,0.078,0,0
9431647,1/17/2003,14:00,1.398,0.067,0,0
9431647,1/17/2003,15:00,1.685,0.081,0,0
9431647,1/17/2003,16:00,2.061,0.082,0,0
9431647,1/17/2003,17:00,2.31,0.098,0,0
9431647,1/17/2003,18:00,2.494,0.087,0,0
9431647,1/17/2003,19:00,2.452,0.081,0,0
9431647,1/17/2003,20:00,2.148,0.099,0,0
9431647,1/17/2003,21:00,1.694,0.09,0,0
9431647,1/17/2003,22:00,1.106,0.072,0,0
9431647,1/17/2003,23:00,0.488,0.062,0,0
9431647,1/18/2003,0:00,-0.02,0.067,0,0
9431647,1/18/2003,1:00,-0.286,0.063,0,0
9431647,1/18/2003,2:00,-0.347,0.056,0,0
9431647,1/18/2003,3:00,-0.117,0.063,0,0
9431647,1/18/2003,4:00,0.3,0.051,0,0
9431647,1/18/2003,5:00,0.81,0.069,0,0
9431647,1/18/2003,6:00,1.271,0.083,0,0
9431647,1/18/2003,7:00,1.668,0.075,0,0
9431647,1/18/2003,8:00,1.833,0.099,0,0
9431647,1/18/2003,9:00,1.852,0.088,0,0
9431647,1/18/2003,10:00,1.703,0.077,0,0
9431647,1/18/2003,11:00,1.464,0.096,0,0
9431647,1/18/2003,12:00,1.252,0.065,0,0
9431647,1/18/2003,13:00,1.138,0.07,0,0
9431647,1/18/2003,14:00,1.227,0.066,0,0
9431647,1/18/2003,15:00,1.416,0.089,0,0
9431647,1/18/2003,16:00,1.784,0.093,0,0
9431647,1/18/2003,17:00,2.121,0.106,0,0
9431647,1/18/2003,18:00,2.39,0.064,0,0
9431647,1/18/2003,19:00,2.503,0.092,0,0
9431647,1/18/2003,20:00,2.383,0.098,0,0
9431647,1/18/2003,21:00,2.014,0.07,0,0
9431647,1/18/2003,22:00,1.491,0.084,0,0
9431647,1/18/2003,23:00,0.846,0.056,0,0
9431647,1/19/2003,0:00,0.238,0.079,0,0
9431647,1/19/2003,1:00,-0.186,0.057,0,0
9431647,1/19/2003,2:00,-0.391,0.056,0,0
9431647,1/19/2003,3:00,-0.378,0.053,0,0
9431647,1/19/2003,4:00,-0.028,0.06,0,0
9431647,1/19/2003,5:00,0.436,0.054,0,0
9431647,1/19/2003,6:00,0.982,0.08,0,0
9431647,1/19/2003,7:00,1.467,0.079,0,0
9431647,1/19/2003,8:00,1.786,0.074,0,0
9431647,1/19/2003,9:00,1.909,0.089,0,0
9431647,1/19/2003,10:00,1.805,0.08,0,0
9431647,1/19/2003,11:00,1.588,0.083,0,0
9431647,1/19/2003,12:00,1.349,0.074,0,0
9431647,1/19/2003,13:00,1.137,0.074,0,0
9431647,1/19/2003,14:00,1.068,0.061,0,0
9431647,1/19/2003,15:00,1.155,0.071,0,0
9431647,1/19/2003,16:00,1.46,0.071,0,0
9431647,1/19/2003,17:00,1.858,0.12,0,0
9431647,1/19/2003,18:00,2.224,0.057,0,0
9431647,1/19/2003,19:00,2.466,0.089,0,0
9431647,1/19/2003,20:00,2.529,0.07,0,0
9431647,1/19/2003,21:00,2.343,0.084,0,0
9431647,1/19/2003,22:00,1.882,0.107,0,0
9431647,1/19/2003,23:00,1.305,0.088,0,0
9431647,1/20/2003,0:00,0.659,0.061,0,0
9431647,1/20/2003,1:00,0.083,0.069,0,0
9431647,1/20/2003,2:00,-0.312,0.069,0,0
9431647,1/20/2003,3:00,-0.423,0.063,0,0
9431647,1/20/2003,4:00,-0.234,0.078,0,0
9431647,1/20/2003,5:00,0.158,0.066,0,0
9431647,1/20/2003,6:00,0.681,0.079,0,0
9431647,1/20/2003,7:00,1.244,0.089,0,0
9431647,1/20/2003,8:00,1.696,0.091,0,0
9431647,1/20/2003,9:00,1.929,0.112,0,0
9431647,1/20/2003,10:00,1.973,0.113,0,0
9431647,1/20/2003,11:00,1.807,0.099,0,0
9431647,1/20/2003,12:00,1.546,0.109,0,0
9431647,1/20/2003,13:00,1.279,0.056,0,0
9431647,1/20/2003,14:00,1.069,0.088,0,0
9431647,1/20/2003,15:00,1.049,0.08,0,0
9431647,1/20/2003,16:00,1.209,0.08,0,0
9431647,1/20/2003,17:00,1.537,0.086,0,0
9431647,1/20/2003,18:00,1.948,0.077,0,0
9431647,1/20/2003,19:00,2.292,0.06,0,0
9431647,1/20/2003,20:00,2.499,0.093,0,0
9431647,1/20/2003,21:00,2.507,0.07,0,0
9431647,1/20/2003,22:00,2.262,0.071,0,0
9431647,1/20/2003,23:00,1.77,0.068,0,0
9431647,1/21/2003,0:00,1.18,0.063,0,0
9431647,1/21/2003,1:00,0.546,0.054,0,0
9431647,1/21/2003,2:00,0.051,0.075,0,0
9431647,1/21/2003,3:00,-0.246,0.061,0,0
9431647,1/21/2003,4:00,-0.238,0.065,0,0
9431647,1/21/2003,5:00,0.06,0.059,0,0
9431647,1/21/2003,6:00,0.514,0.082,0,0
9431647,1/21/2003,7:00,1.085,0.081,0,0
9431647,1/21/2003,8:00,1.592,0.086,0,0
9431647,1/21/2003,9:00,1.965,0.105,0,0
9431647,1/21/2003,10:00,2.16,0.125,0,0
9431647,1/21/2003,11:00,2.073,0.147,0,0
9431647,1/21/2003,12:00,1.815,0.099,0,0
9431647,1/21/2003,13:00,1.507,0.131,0,0
9431647,1/21/2003,14:00,1.241,0,0,
9431647,1/21/2003,15:00,1.053,0.112,0,0
9431647,1/21/2003,16:00,1.029,0.144,0,0
9431647,1/21/2003,17:00,1.212,0.154,0,0
9431647,1/21/2003,18:00,1.576,0.181,0,0
9431647,1/21/2003,19:00,1.941,0.134,0,0
9431647,1/21/2003,20:00,2.255,0.153,0,0
9431647,1/21/2003,21:00,2.482,0.147,0,0
9431647,1/21/2003,22:00,2.41,0.123,0,0
9431647,1/21/2003,23:00,2.111,0.168,0,0
9431647,1/22/2003,0:00,1.641,0.105,0,0
9431647,1/22/2003,1:00,1.055,0.155,0,0
9431647,1/22/2003,2:00,0.5,0.088,0,0
9431647,1/22/2003,3:00,0.108,0.1,0,0
9431647,1/22/2003,4:00,-0.077,0.089,0,0
9431647,1/22/2003,5:00,0.004,0.078,0,0
9431647,1/22/2003,6:00,0.335,0.103,0,0
9431647,1/22/2003,7:00,0.923,0.114,0,0
9431647,1/22/2003,8:00,1.405,0.123,0,0
9431647,1/22/2003,9:00,1.872,0.131,0,0
9431647,1/22/2003,10:00,2.178,0.115,0,0
9431647,1/22/2003,11:00,2.296,0.145,0,0
9431647,1/22/2003,12:00,2.252,0.137,0,0
